name,function_set
Koza,"add,sub,mul,div,sin,cos,exp,log"
CKoza,"add,sub,mul,div,sin,cos,exp,log,const"
KozaPlus1,"add,sub,mul,div,sin,cos,exp,log,1.0"
Korns,"add,sub,mul,div,sin,cos,exp,log,n2,n3,sqrt,tan,tanh,const"
Keijzer,"add,mul,inv,neg,sqrt,const"
KeijzerPlus1,"add,mul,inv,neg,sqrt,1.0,const"
Vladislavleva-A,"add,sub,mul,div,n2"
Vladislavleva-B,"add,sub,mul,div,n2,exp,expneg"
Vladislavleva-C,"add,sub,mul,div,n2,exp,expneg,sin,cos"
None,"add,sub,mul,div,sin,cos,exp,log"
Jin,"add,sub,mul,div,sin,cos,exp,n2,n3,const"
GrammarVAE,"add,mul,div,sin,exp,1.0,2.0,3.0"
